Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
43935,8573801079,Sofia Elena,Vargas,7106929996325160,3,1499996.642
113778,6629161870,Jose Jose Ana,Quispe Flores,9167606995159000,3,499898.0888
106792,1358132317,Lucia Elena,Garcia,7892553085287790,3,499691.3183
72764,1081733210,Diego Luis,Garcia,2601937046370930,3,499682.7854
7532,5122753743,Jose Juan Ricardo,Quispe,3210365315889140,3,499611.9073
33846,624739755,Jorge,Quispe Choque,6805200606760920,3,499589.5734
86495,2842253841,Juan,Mendoza,2612691845152950,3,499581.2373
79812,7853512254,Lucia Jorge Juan,Garcia,6075002573902430,3,499566.9384
48662,6739233307,Ana,Rodriguez Mamani,7202220449949530,3,9557.3214
13340,5463784924,Ricardo,Mendoza,9178070367995980,3,499534.3086
26813,6859431749,Carlos,Rodriguez,6156506948359170,3,499366.1479
14196,9622321999,Sofia Elena Maria,Perez Perez,4559294543324630,3,499349.2557
101847,6272730543,Sofia Jose Diego,Vargas,2968494271920820,3,499224.6589
119653,2930384493,Carlos Ricardo,Vargas,8179259890041350,3,499152.7232
108716,8633381401,Lucia Ana Jose,Vargas Quispe,8713064277404750,3,499134.9692
101832,8819382190,Ricardo Jorge Ana,Mendoza,7348500537088320,3,277.9476
57983,2340110666,Elena Diego Jorge,Perez,7146685289044380,3,258.7808
730,5623367015,Elena Lucia,Lopez,5267320479654160,3,11959.397
77754,8934984135,Jose Elena,Quispe Rodriguez,3355877744765910,3,11955.7855
24002,3596273187,Carlos Sofia,Mendoza,4201657087158070,3,11912.3767
8649,7750435761,Ana,Rodriguez,2300974844053990,3,1686.2616
12843,8171409405,Ricardo,Vargas,4352232528349550,3,1671.4662
22250,8570999713,Maria,Perez,2814453103940550,3,1622.2678
115602,3895725925,Jorge,Claros,518405065941267,3,11782.1322
27963,6135251721,Ricardo Diego Jose,Quispe Lopez,1081283291697920,3,11765.1967
2361,5153669806,Ana,Mamani,7156052096960790,3,11694.0636
71474,6830912639,Diego Juan,Garcia Flores,9316773868960620,3,11644.6821
70789,8108697873,Sofia Diego,Vargas Flores,3294190674081890,3,11618.8499
120706,3043810632,Sofia Ana Carlos,Garcia Claros,3362477978470100,3,11567.3449
119159,1166964824,Sofia Elena Ricardo,Flores,8283721615720990,3,11537.2166
113866,1426459823,Juan,Flores,3776049657670900,3,11518.193
123551,4777942385,Elena Luis,Flores,1590850067111970,3,11508.9988
42547,8791681540,Diego Diego Carlos,Mamani,629379579947396,3,11460.3462
110572,6841807100,Jorge Lucia Sofia,Claros Rodriguez,8376474138996240,3,11150.0996
114543,9100204187,Ana Jorge,Perez Vargas,7975689664501470,3,11141.1514
59520,8243874992,Ana Luis,Lopez Perez,2787297771352750,3,11029.5537
50836,3567747691,Sofia,Perez,6719408893108880,3,497911.1956
90187,9747321338,Jorge,Garcia Lopez,9846799785516180,3,497834.8008
113585,4499628914,Diego,Flores,505579600918315,3,497823.9754
76162,5995869609,Jorge Jorge,Lopez,661955440615482,3,497758.7778
11718,5266842548,Maria Carlos Juan,Flores Mendoza,4870768353983410,3,497731.2179
69513,6326219599,Jorge,Claros,2613172591619600,3,497714.9
7343,1956901982,Maria Maria,Quispe Flores,5005078531875500,3,497700.4371
75975,3508696621,Juan Diego,Garcia,6377686403506700,3,497672.758
53500,5920605241,Jorge Lucia,Claros Garcia,7526581127792010,3,497614.66
65138,8045040718,Maria,Rodriguez Vargas,7176312890297670,3,497597.3464
86657,9010519838,Ricardo Carlos Jorge,Mendoza,3577159933191560,3,497562.7672
117292,3967107448,Diego Ricardo Luis,Flores,9586456527234780,3,497537.572
12404,3668464348,Sofia Sofia Luis,Vargas Lopez,8400907615333180,3,497535.2613
78445,3283707143,Jose Ricardo,Garcia,3247286725026830,3,497534.7993
14975,6052287502,Ana Juan Maria,Lopez,2719706872923860,3,497529.04
28138,1500751853,Carlos Carlos,Garcia,2588049268710020,3,497506.5979
62981,1704549881,Lucia Ricardo,Perez Martinez,3655073613304040,3,497462.438
68619,6653913106,Luis Diego,Vargas,1562298695734260,3,497416.1423
88759,777098526,Carlos Diego,Martinez Rodriguez,6828868903855270,3,497402.7235
80080,3517658134,Lucia,Rodriguez Claros,7576760947618530,3,497401.5909
79282,8036976184,Sofia Lucia,Quispe Rodriguez,3426389742330850,3,497343.2466
91162,5460557790,Ana Ricardo Diego,Claros Mamani,3718773636548750,3,497324.2021
15156,2158630612,Lucia,Mendoza,8623001736818020,3,497283.499
106578,7478744222,Lucia Sofia Juan,Mendoza Quispe,9511386818677100,3,497272.8617
117975,3122714703,Jose,Flores,3566195322984300,3,497238.4321
57675,4984156470,Juan Jose Ana,Lopez,4602698293542620,3,497130.0458
27094,2237059139,Juan Luis Ricardo,Perez,200293218548335,3,497083.9622
122315,9930833779,Jorge Ricardo Elena,Garcia Quispe,1617360866042770,3,496972.164
36068,3095867817,Lucia Ana,Claros Flores,3555065191205210,3,496939.7141
114838,9706419974,Ana Jose Jose,Vargas Perez,5959738009822060,3,496901.6507
52693,2937700301,Ricardo,Quispe,5209542558251630,3,496884.8381
34309,1480835668,Ricardo,Garcia Quispe,4768680642922630,3,496834.635
113891,6465582480,Carlos Jose Ricardo,Perez,1679184955704350,3,496815.5804
71307,8322121064,Ana,Garcia Mamani,2302901927248490,3,496804.4716
51429,5746013268,Lucia,Garcia,2073053225210260,3,496764.7176
39982,5065314173,Maria Sofia Diego,Perez,6071935406820190,3,496760.4322
62419,1166308245,Luis Lucia Diego,Garcia Rodriguez,4636050265014050,3,496673.2188
61711,4667546855,Lucia Ana,Garcia,4309556603346810,3,496665.5782
114906,6507682409,Diego Juan,Claros Rodriguez,7389948039996850,3,496647.5059
59497,1179162690,Lucia Juan,Garcia Perez,6123291553716570,3,496636.0592
