Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
82731,8195208107,Luis Lucia,Vargas Mendoza,5811157865560080,11,499951.8466
49698,2021122200,Jose,Quispe,493732120512251,11,499820.5706
95845,2155937903,Lucia,Rodriguez,8073067212186660,11,499805.7612
22539,2563917899,Lucia Jose Sofia,Mendoza,937225569003335,11,803.1701
45419,2432968927,Carlos Ana,Perez,5891917277404680,11,499755.4077
30322,392938287,Jorge Luis Elena,Mamani Lopez,9522313124195750,11,499751.2346
66442,5320891721,Lucia,Perez,9295509247236390,11,499715.2599
38229,9310815136,Jorge,Flores,2579907291886900,11,499621.2642
119114,5161926030,Juan Carlos Diego,Quispe Garcia,7763466060082710,11,499544.0088
116951,2743960770,Diego Jorge,Vargas Mendoza,4865000869459510,11,499448.6406
24261,8099946744,Jose Ana,Mendoza,5343721518684630,11,499447.3009
118974,7969552712,Luis Ricardo Juan,Quispe Lopez,6363038578147930,11,499370.2373
11206,5089861241,Carlos Maria,Vargas Vargas,8834357635248120,11,499277.1089
50046,1962792787,Sofia,Vargas Claros,3906114307853830,11,9225.5226
41045,1994818199,Jorge Juan Luis,Vargas Rodriguez,797321632394212,11,499195.6343
102542,7932031212,Elena Ricardo Ana,Lopez Claros,5971818248438090,11,499175.4016
88880,1050682118,Jorge Elena,Rodriguez,5572392920881300,11,274.1202
81682,8511692317,Elena Diego Sofia,Perez Lopez,5090855918283710,11,11987.7872
120349,4394235106,Elena,Vargas Perez,6990586444769800,11,11985.9927
119031,5010278072,Carlos Ana Ana,Mendoza,5918642667420020,11,11919.0837
41534,8521406426,Maria Luis,Lopez Perez,693296008616692,11,1693.291
27681,8531833613,Maria Ana Maria,Perez Mamani,5791205121996230,11,11777.0726
88281,1120008448,Ricardo Ricardo Elena,Lopez,2271639834832750,11,11664.5266
32197,4764318065,Ricardo Luis Sofia,Mamani,2638005038333780,11,11639.7555
22669,7688140175,Sofia Ana,Perez Perez,5165974208695380,11,11594.3189
25933,783480722,Jose Luis Jose,Mamani Martinez,6543562749762330,11,11430.3872
52768,5545634202,Jose Maria,Perez,1157793213142690,11,11428.081
71843,3275062219,Luis Maria,Quispe,7101499108233190,11,11415.8315
40969,3470842178,Ana Jorge Diego,Vargas Quispe,2105215256203030,11,11349.9862
33766,288821226,Carlos,Vargas Perez,4537952264562310,11,11310.8206
43042,2163828257,Maria Juan,Garcia Mendoza,1186698593196510,11,11258.7213
3718,8709832147,Ana Sofia Ricardo,Rodriguez,5741587317276500,11,11152.4766
1639,3057828174,Maria,Mamani Claros,550628648356128,11,11141.9764
42534,7554770037,Sofia Ricardo Luis,Rodriguez,5629951574011230,11,11141.8393
19047,8437402899,Maria Ricardo,Mamani,2773764036040020,11,11104.6575
87563,9049980875,Maria Sofia Sofia,Garcia,2566509275288700,11,11080.2206
77428,1255447684,Carlos Diego Sofia,Lopez,2206005403625260,11,11079.6068
37900,2187908444,Maria Elena Ana,Flores,6038597761568720,11,11072.3559
59185,3057612164,Diego Sofia Ricardo,Mendoza,2382009562506400,11,497962.2546
87,2027758723,Juan Elena,Garcia Vargas,9727894650535620,11,497894.1519
47872,1945829418,Lucia,Flores,553247959579878,11,497690.4382
86901,4327143393,Carlos,Claros Garcia,108357652003392,11,497589.77
1100,1587637573,Diego Diego Elena,Martinez Rodriguez,9092437927066320,11,497587.235
32343,3616474364,Maria Ana Jorge,Mendoza Mamani,3706010117515940,11,497577.7051
6033,8493036914,Lucia Jose,Vargas,2613825071486290,11,497572.3617
105131,2435953145,Ana,Claros,184173249833544,11,497519.9616
121314,8199700498,Ana,Mendoza Perez,3357412121676750,11,497504.7839
122970,9477305507,Lucia Jorge Juan,Quispe,3480839593713460,11,497415.3977
95132,3502937886,Jose,Mendoza,744620739712197,11,497185.7476
33342,8701379324,Carlos,Garcia,424443185941977,11,496815.1544
96410,7753044516,Juan Elena,Rodriguez,326863192912466,11,496814.7159
103100,7375493585,Maria Jose Jose,Flores,756318712535359,11,496790.0063
15602,3492146743,Juan,Garcia Rodriguez,8689905611687500,11,496781.8201
41079,9475343705,Diego Elena,Flores Perez,5961816115949350,11,496675.411
36308,3650328162,Carlos,Mamani,6695978530133380,11,496648.6716
20086,1519362382,Ricardo Juan Jorge,Garcia Mamani,1594717529446100,11,496627.7641
119868,2562048259,Carlos Ricardo,Rodriguez Vargas,3601409368365340,11,496476.9715
