Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
67645,2720387237,Luis Jorge Luis,Vargas Vargas,4365304832709650,10,499959.3008
19927,3048150971,Diego Maria Ricardo,Quispe,1037389882868410,10,499944.271
64333,424399936,Jose Ana,Rodriguez,6152047183658820,10,499864.2548
116733,7563015730,Lucia Luis,Vargas Perez,8145948320519730,10,499847.2828
2340,7026667212,Jorge Ricardo,Mamani,5316377975188700,10,499808.9283
78353,2491209784,Maria Luis Diego,Perez Mendoza,3314228928444150,10,499782.7894
60737,6369702828,Juan Lucia,Claros,2440030005591290,10,499719.7317
56277,2491858251,Juan Sofia Ricardo,Rodriguez,7616071248718140,10,499589.7314
19262,925384930,Maria Elena,Martinez Flores,5077429190321070,10,499588.3869
62110,1436546265,Maria,Garcia,6071974628048060,10,499453.9838
15389,9442812344,Carlos Juan Maria,Flores,8909444505764830,10,499301.6741
123359,2599251179,Ricardo Lucia,Mamani Flores,1344421646959370,10,499204.8617
99463,9345679389,Lucia Jorge,Lopez Quispe,2584686741366040,10,499186.0573
119032,7064071242,Maria Carlos,Perez,4335389094760770,10,499174.5784
109346,5802276547,Elena Luis,Garcia,1879239882028160,10,499142.7444
36839,4493735296,Maria,Vargas,4707605554807200,10,499107.6436
57629,8233186398,Luis Jose,Rodriguez Mendoza,1015175443744870,10,11957.0884
61196,9361848645,Elena Jose,Lopez Garcia,1761836440607540,10,11952.1108
42015,2475940649,Ricardo Sofia,Flores Vargas,4963560604007900,10,11944.1458
102609,5635511938,Jorge Luis,Flores Claros,6980437535053040,10,11915.9996
35717,1254442255,Jose,Martinez,2220378871824050,10,1605.5012
111592,9252733572,Carlos Diego Maria,Perez,8641509326545060,10,11600.281
11656,8186192725,Ricardo Juan Lucia,Flores Mamani,3861837700585770,10,11575.5976
10906,4145388534,Elena Jose Ricardo,Rodriguez Perez,44758368934748,10,11527.9944
10205,1589313745,Lucia Sofia,Lopez Choque,6799584935338350,10,11492.6993
26029,5347026737,Maria Jose Diego,Lopez,2568808337370580,10,11371.839
86070,6374271967,Luis Juan,Vargas Vargas,8290445519046370,10,11268.5
14814,9960989805,Jose,Mamani Mamani,8222836556010110,10,11229.6571
82575,1933223835,Diego Jose,Mamani Vargas,5961720004484660,10,11132.12
81918,5584327094,Luis Sofia Carlos,Mendoza,3383757042422910,10,11093.66
113401,4130540965,Ricardo Diego,Rodriguez Lopez,6969333645443120,10,11090.9942
101440,6514952539,Diego Sofia Elena,Vargas,9215966219406420,10,497989.1812
116700,382978246,Lucia,Martinez,7993022502958970,10,497867.4683
32163,5242555747,Ana Lucia,Vargas Perez,7516060844032220,10,497857.6561
20275,421074075,Juan Carlos Jorge,Martinez Quispe,3404696308206470,10,497709.324
65179,6921046391,Sofia Sofia Ana,Perez Mendoza,6646881329390410,10,497698.5
92102,6840409733,Ricardo,Vargas Flores,5753415852875240,10,497625.7162
30940,2382411377,Luis Maria Ricardo,Claros Garcia,4203844835748250,10,497576.8582
14729,7111680151,Juan,Flores Quispe,9808040842585420,10,497567.6705
108023,4798657803,Lucia,Flores Mendoza,8911913021849730,10,497473.702
23218,6689923374,Juan Juan Ricardo,Mendoza Rodriguez,4784973807484940,10,497426.5499
123422,8394186577,Maria Jorge,Quispe,4913566642610030,10,497343.0379
45049,4083159418,Diego Carlos,Claros Garcia,3339275820224580,10,497307.6104
102255,6576832688,Ricardo Lucia,Garcia Lopez,7994229402774830,10,497291.2715
13414,7297396323,Jose Luis Jose,Mamani Rodriguez,7383908095510630,10,496903.1968
79997,4807103236,Jorge Luis Ana,Rodriguez,5922804550961450,10,496840.6812
25684,3055399180,Carlos Jose Luis,Mamani Vargas,1670801632377230,10,496793.6667
123744,6064007610,Luis,Rodriguez Vargas,5897240417522900,10,496776.152
121937,4761290979,Sofia,Quispe Lopez,1880935086655050,10,496720.4673
88944,5704939878,Juan,Vargas Quispe,5745698360355840,10,496651.0296
6497,628025842,Juan,Martinez,8832687263598750,10,496448.2172
104039,8486535617,Sofia Jorge Sofia,Rodriguez Claros,8177728567885410,10,496439.4532
64004,5970468547,Jose Ana,Claros Quispe,5260408964966390,10,496399.8552
21750,2635734070,Maria,Lopez,3184304254691360,10,496371.4704
52276,8413809012,Diego,Claros Garcia,2685443069676890,10,496353.6983
112572,471020309,Lucia,Flores,1608272059382620,10,496324.7602
83922,9385610079,Ricardo Elena Carlos,Perez,5391201603488110,10,496279.9092
48119,3771734879,Jose Ana,Mendoza,6896642696204270,10,496254.9165
8635,3475861618,Ricardo Lucia,Garcia Lopez,4605799937503340,10,496211.3898
26688,9043989143,Diego Lucia Maria,Vargas,1713562923079050,10,496113.8106
64151,5925512776,Jorge,Flores,8386514152902350,10,496049.0391
76297,3065603460,Carlos Lucia Lucia,Perez,3640789295880940,10,495941.8342
104014,8675151157,Lucia,Lopez,3742005072026230,10,495887.4947
82245,6072297733,Ana,Claros Quispe,5286620108313670,10,495822.2898
50326,3204339462,Ana Juan,Rodriguez,8325870523069830,10,495815.8521
48653,7281619087,Elena Lucia,Garcia,3640769334553890,10,495760.2621
38949,6605009329,Juan Jorge Jose,Lopez,6786791143918990,10,495645.3889
123377,6843181536,Diego Luis,Flores,3661823201058370,10,495569.7185
102236,7472755207,Jose Diego Lucia,Lopez Mendoza,4039032531759370,10,495469.0374
73521,8588698325,Luis Jose Carlos,Garcia Mendoza,4887455105555200,10,495446.5929
108807,6647107267,Ricardo Carlos Ricardo,Perez Rodriguez,2542525579829120,10,495435.6266
4705,5770051688,Lucia Luis,Vargas Perez,4856064586526800,10,495430.7632
