Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
80962,6755917603,Luis Luis,Vargas,873452932746589,1,999996.5298
76806,675665688,Sofia,Lopez,2695388013361890,1,399988.9652
108995,2282858258,Jose Ricardo Maria,Perez,7718524500532400,1,209950.8836
39312,9505825506,Elena Ricardo Ricardo,Claros,6483574789118620,1,499850.9758
67943,3002146744,Jose Maria,Quispe,9454546084700500,1,718.5974
29470,961140613,Diego Luis,Mamani,4806676903621540,1,199681.8902
12625,1499782172,Luis,Rodriguez Rodriguez,6167651252418220,1,499608.79
46851,9668615101,Elena Ricardo,Mendoza,5288292120900960,1,499578.1378
74988,9922887092,Carlos Ricardo,Flores,3012681453674510,1,499545.3465
27894,5388302839,Jorge,Garcia Mamani,3505914430210930,1,499544.9309
113664,6987097069,Jorge Luis Jose,Lopez,5481261256936250,1,499532.9077
103400,7187202167,Maria,Lopez Garcia,1572267126279590,1,499521.1496
59206,5124590362,Carlos,Lopez,9284584476601640,1,499503.8053
66921,4975978157,Ricardo Jose Sofia,Quispe Garcia,1389736498423210,1,499341.5183
114122,3009845948,Jose Elena,Garcia,9005775868987230,1,499306.1737
71936,8709686934,Lucia,Quispe,8254437299723140,1,499297.0628
11644,2347264399,Elena,Perez,5585820155099910,1,11919.6464
83995,7056719295,Lucia Juan Luis,Mamani,1830579471547460,1,1605.8536
109959,8443740332,Jose Diego,Mendoza Quispe,9258433626966720,1,11658.8408
112987,9337227542,Elena Carlos,Rodriguez,128547630594572,1,11639.7663
7103,3357951183,Jose Juan Ana,Vargas,598329699126373,1,11600.88
37472,6644136254,Maria Sofia,Garcia,315477007342604,1,11536.8967
121866,7827558585,Jose,Vargas,3078081054691990,1,11485.5415
66840,2836389606,Ricardo Jose,Lopez Quispe,951563258753693,1,11445.5303
112464,3060894627,Sofia Jorge,Flores,3155749963968230,1,11380.0472
30206,6729552071,Diego Ana,Vargas Mendoza,273506547111862,1,11316.197
52321,1056536030,Elena,Quispe,8456515142464890,1,11289.9
88666,3686253355,Luis,Rodriguez Claros,8754598496203140,1,11286.4314
16395,9950848262,Maria,Mamani,6650619388652630,1,11075.1679
87343,3298638079,Juan Ana,Perez,9715267535613460,1,11022.7428
103042,5233311401,Carlos Ana Carlos,Perez,7147676318061920,1,497954.6216
16245,1238228094,Elena Lucia,Martinez Lopez,779293010283326,1,497952.7204
44828,9914779902,Lucia,Lopez,3905866072342450,1,497925.631
85547,2815971377,Jose,Flores Vargas,6835211838344030,1,497917.9811
26909,2996338256,Carlos Elena,Mendoza Quispe,7059579163185600,1,497911.9934
104008,8741847221,Elena Lucia,Vargas,3592875284760650,1,497878.9265
100669,2842324735,Jorge Diego,Garcia Mendoza,644018010702388,1,497878.5162
91467,1745382954,Sofia Diego,Vargas Perez,9359344291702610,1,497709.055
122893,5462813978,Jorge,Mamani Claros,80229014606810,1,497627.3758
49285,294687393,Ricardo Elena Luis,Rodriguez,2144987680801700,1,497615.8585
37713,7963712026,Sofia,Perez Vargas,5031436155792890,1,497611
63539,3922422220,Maria Maria Luis,Mendoza Rodriguez,649829433934399,1,497593.8207
61705,9453982367,Jose Diego,Flores Lopez,2000741761432890,1,497490.0487
13652,5235945819,Ana Lucia,Mendoza,8820417681468150,1,497434.3502
18871,4183134849,Juan Ricardo Lucia,Garcia Garcia,7103151646030290,1,497405.4536
16636,3558800918,Carlos Sofia,Mendoza,7118690081062970,1,497391.2547
92787,8097962728,Maria Jose Luis,Mamani,9441645854394030,1,497369.7944
10383,8583959640,Maria,Lopez,314796361046347,1,497228.9982
30479,463553176,Carlos Sofia Elena,Vargas,4406360443480440,1,497166.8496
118567,559001799,Elena Jorge,Quispe Perez,1311754391799120,1,497158.2118
18947,3456620042,Maria,Quispe,9741844500450340,1,497092.4217
83887,7102709458,Carlos Diego,Perez Mamani,8459419697623850,1,497061.46
82631,220905043,Elena Lucia,Garcia,3790249660859160,1,497012.2252
975,4774957709,Diego,Flores,688223169288688,1,496967.6131
114616,4532675607,Luis,Claros,3202152183293540,1,496964.2472
10823,1036219125,Juan Lucia,Rodriguez,8341039528747840,1,496906.199
55942,9992723677,Jorge Jorge,Claros,4085538066385380,1,496790.5845
25098,7686518704,Juan,Vargas,3811081397655520,1,496752.1157
36273,2583309236,Lucia,Vargas,3413764374787100,1,496705.8124
59330,207387784,Maria Ricardo Ricardo,Garcia Martinez,2340752492389830,1,496669.2176
106136,386386848,Maria,Rodriguez,9548689414760970,1,496666.6401
96504,2957915624,Ricardo Ana Lucia,Claros,3023240964049500,1,496636.2231
85948,4933215273,Diego Diego,Mendoza,9208211995702380,1,496506.9836
52339,6408055251,Maria,Garcia,4196536857715330,1,496448.8237
93859,8701076096,Luis Sofia,Rodriguez Garcia,2262638124486980,1,496374.6579
117125,6745496248,Jose,Mamani Lopez,2382837372982730,1,496303.9768
50852,1282608817,Carlos Diego Ana,Flores,292670517378620,1,496251.0941
89717,4836184347,Maria Luis Juan,Quispe,1566180836418800,1,496235.45
54359,3722610465,Lucia Luis,Rodriguez,1210231093556980,1,496197.1527
8127,2677232511,Carlos Carlos,Vargas Lopez,9411220093272730,1,496124.4487
72457,4773077829,Elena Ana,Rodriguez Mamani,7109051049708330,1,496102.6235
54626,94743027,Ana,Garcia,8887871748398340,1,496074.6028
108615,7164292626,Carlos Lucia,Claros Mendoza,7288021815882450,1,496062.9025
42676,3823140680,Juan Ana Ana,Rodriguez,3079983728317630,1,496061.478
26588,6215038326,Ricardo Luis Elena,Mamani Mendoza,8805936710938770,1,495867.7314
121422,9495602257,Carlos Ana Ana,Claros Garcia,8658344486735930,1,495842.0873
88611,4344581744,Elena Ana Juan,Rodriguez Mamani,2134640751813990,1,495695.9916
26938,6239510159,Ricardo Elena,Vargas,2840997354849490,1,495658.4997
1946,3075208351,Jorge,Rodriguez,7767219527388200,1,495642.4466
53153,5649615640,Luis Jose,Quispe,2423190215580780,1,495597.4829
104817,6345313075,Ricardo,Vargas,9545168339161040,1,495516.9938
49531,3420159231,Jose Ricardo Sofia,Quispe Rodriguez,5766345190172670,1,495451.7928
60760,4261211098,Carlos,Garcia,3241796980575540,1,495431.0111
109597,8096261172,Sofia Diego Jose,Mendoza,3138505260861740,1,495378.4285
22590,9081768747,Luis Lucia,Quispe,2930526173652560,1,495369.176
81308,5516897988,Elena Jose Luis,Lopez Quispe,3327167215833140,1,495367.7266
79788,8155474624,Sofia Jorge Elena,Quispe Claros,9950274478840200,1,495297.8877
80963,3531921455,Ana,Quispe Quispe,3962013891054370,1,495263.8571
27685,5328473150,Maria Jose,Mamani,9880755833392300,1,495229.8534
33168,2900586379,Juan,Rodriguez Quispe,2982761815943300,1,495218.9862
73040,8201555716,Diego Carlos,Mamani Lopez,7815855164150440,1,495192.3453
54000,9151774405,Luis,Quispe,253659899549243,1,495175.4789
25751,8302216766,Ana Elena,Perez Lopez,6968243362082330,1,495124.2895
120964,6661910567,Jose Ana,Vargas,9915507507112610,1,495119.4149
36212,4747380720,Sofia,Vargas,4734525728954390,1,495090.7722
10917,942125318,Carlos Jose Juan,Vargas,4650822023293150,1,494907.9692
61503,3507228169,Sofia Jorge,Lopez,5684443856144130,1,494905.1527
45692,3646604545,Diego,Flores,7449166508733560,1,494869.3484
76994,1468241830,Elena,Quispe Perez,4246128888371460,1,494813.95
102611,6908124452,Elena,Flores Mamani,4609957826815620,1,494768.2473
122151,1968402786,Juan Jose,Lopez,3721171850260180,1,494632.9248
85567,5939043961,Elena,Rodriguez Mendoza,3244114712286690,1,494617.8512
28213,2938827792,Ana,Flores,1769114072515940,1,494468.8076
41620,7503153720,Diego Jose,Garcia,1969207145016530,1,494343.8321
65639,4759620510,Lucia Elena Luis,Perez,121908802451113,1,494308.772
9637,7333919821,Maria Lucia,Rodriguez,8403764028534720,1,494286.2244
39790,8155482293,Elena,Rodriguez Flores,7871215918520110,1,494156.4501
114040,2223360744,Elena,Lopez Vargas,7355321377839610,1,494134.8541
16587,2500797358,Juan Maria,Mamani Mamani,5327741424240490,1,494079.8873
117798,3859986197,Carlos Jose,Vargas Garcia,4929810150173270,1,493994.0992
106616,8288598027,Ana,Perez Claros,8049168807886430,1,493966.811
102939,6800654869,Diego Jorge Juan,Perez Vargas,811638159674995,1,493760.0393
93703,3701509627,Lucia,Mamani Rodriguez,2610794326442460,1,493709.2228
44582,1797188035,Ana,Flores Choque,9682270424443860,1,493677.7461
119987,9792997657,Juan Ricardo,Vargas,9817865821311700,1,493638.2946
